PROG_NO,PROG_NAME,SEM,MAJOR ,MAJOR_NAME,COURSE_NO,COURSE_NAME,NAME OF BOS,CREDIT,VERTICAL_NO
1150261.0,B.Sc. (Information Technology),1,,Major 1,,Programming with C,B.Sc. (Information Technology) ,2,1
1150261.0,B.Sc. (Information Technology),1,,Major 2,,Database Management Systems,B.Sc. (Information Technology) ,2,1
1150261.0,B.Sc. (Information Technology),1,,Major 3,,Practical I,B.Sc. (Information Technology) ,2,1
1150261.0,B.Sc. (Information Technology),1,,OE,,Wonders of Physics - I,B.Sc. (Physics) ,2,3
1150261.0,B.Sc. (Information Technology),1,,OE,,Wonders of Physics - II,B.Sc. (Physics) ,2,3
1150261.0,B.Sc. (Information Technology),1,,OE,,Chemistry in Daily Life,B.Sc. (Chemistry) ,2,3
1150261.0,B.Sc. (Information Technology),1,,OE,,Medicines in Every Day Life,B.Sc. (Chemistry) ,2,3
1150261.0,B.Sc. (Information Technology),1,,OE,,Quantitative Techniques – I (OE) ,B.Sc. (Mathematics) ,2,3
1150261.0,B.Sc. (Information Technology),1,,OE,,Logic and Data Interpretation - I (OE) ,B.Sc. (Mathematics) ,2,3
1150261.0,B.Sc. (Information Technology),1,,OE,,Financial Mathematics – I (OE) ,B.Sc. (Mathematics) ,2,3
1150261.0,B.Sc. (Information Technology),1,,OE,,Introduction to Basic Statistics-I,B.Sc. (Statistics) ,2,3
1150261.0,B.Sc. (Information Technology),1,,OE,,Introduction to Social Statistics,B.Sc. (Statistics) ,2,3
1150261.0,B.Sc. (Information Technology),1,,OE,,Introduction to Business Statistics-I,B.Sc. (Statistics) ,2,3
1150261.0,B.Sc. (Information Technology),1,,OE,,Optimization Techniques-I,B.Sc. (Statistics) ,2,3
1150261.0,B.Sc. (Information Technology),1,,OE,,Organic farming and Bio fertilizers (OE),B.Sc. (Botany) ,2,3
1150261.0,B.Sc. (Information Technology),1,,OE,,Plants in Everyday Life : A Botanical Exploration (OE),B.Sc. (Botany) ,2,3
1150261.0,B.Sc. (Information Technology),1,,OE,,Blood and Blood disorders,B.Sc. (Bio-Chemistry ) ,2,3
1150261.0,B.Sc. (Information Technology),1,,OE,,Basics of food and nutrition,B.Sc. (Bio-Chemistry ) ,2,3
1150261.0,B.Sc. (Information Technology),1,,OE,,Amazing Animals,B.Sc. (Zoology) ,2,3
1150261.0,B.Sc. (Information Technology),1,,OE,,Wildlife documentation,B.Sc. (Zoology) ,2,3
1150261.0,B.Sc. (Information Technology),1,,OE,,Microbes at Work,B.Sc. (Microbiology) ,2,3
1150261.0,B.Sc. (Information Technology),1,,OE,,Model Organisms in Biology,B.Sc. (Life Science ) ,2,3
1150261.0,B.Sc. (Information Technology),1,,OE,,IPR and Entrepreneurship,B.Sc. (Life Science ) ,2,3
1150261.0,B.Sc. (Information Technology),1,,OE,,"Nutrition, Life style diseases and their management",B.Sc. (Bio-Technology) ,2,3
1150261.0,B.Sc. (Information Technology),1,,OE,,Wine Technology,B.Sc. (Bio-Technology) ,2,3
1150261.0,B.Sc. (Information Technology),1,,OE,,Open-Source Technologies (OE),B.Sc. (Computer Science) ,2,3
1150261.0,B.Sc. (Information Technology),1,,OE,,Web Designing (OE),B.Sc. (Computer Science) ,2,3
1150261.0,B.Sc. (Information Technology),1,,OE,,IT_Fundamentals of Computers,B.Sc. (Information Technology) ,2,3
1150261.0,B.Sc. (Information Technology),1,,OE,,IT_Google Workspace,B.Sc. (Information Technology) ,2,3
1150261.0,B.Sc. (Information Technology),1,,OE,,Introduction to Botany  ,B.Sc. (Bio-analytical Science) ,2,3
1150261.0,B.Sc. (Information Technology),1,,OE,,Plant physiology ,B.Sc. (Bio-analytical Science) ,2,3
1150261.0,B.Sc. (Information Technology),1,,OE,,DS_Excel for Data Analytics,B.Sc. (Data Science) ,2,3
1150261.0,B.Sc. (Information Technology),1,,OE,,DS_Database Management System,B.Sc. (Data Science) ,2,3
1150261.0,B.Sc. (Information Technology),1,,VSC,,Combinational and Sequential Design,,2,4
1150261.0,B.Sc. (Information Technology),1,,SEC,,Office Tools for Data Management,,2,4
1150261.0,B.Sc. (Information Technology),1,,SEC,,Fundamentals of Telecommunication Systems,,2,4
1150261.0,B.Sc. (Information Technology),1,,AEC,,Introduction to Communication Skills (B.Sc),English,2,5
1150261.0,B.Sc. (Information Technology),1,,AEC,,Business Communication Skills I (B.M.S.),English,2,5
1150261.0,B.Sc. (Information Technology),1,,AEC,,Business Communication Skills I (B.A.F),English,2,5
1150261.0,B.Sc. (Information Technology),1,,AEC,,Business Communication Skills I (B.Com.),English,2,5
1150261.0,B.Sc. (Information Technology),1,,AEC,,Communication Skills in English I (BA),English,2,5
1150261.0,B.Sc. (Information Technology),1,,VEC,,Indian Constitution,,2,5
1150261.0,B.Sc. (Information Technology),1,,VEC,,Introduction to Law of Torts and Consumer protection Act,,2,5
1150261.0,B.Sc. (Information Technology),1,,VEC,,Law related to Intellectual Property Rights,,2,5
